url	from_url	note
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743385.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743396.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743400.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743409.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743422.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743427.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743429.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743431.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743432.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743434.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743435.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743436.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220818_1746716.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220818_1746718.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220818_1746723.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/xzgfxwj/	bmzfxxgk-root	enum-other-site
http://www.pthj.gov.cn/zfxxgk/zfxxgkndbg/	bmzfxxgk-root	enum-other-site
http://www.pthj.gov.cn/zwgk/gzbg/	direct:/zwgk/jhzj/xqgzbg/	enum-other-site
http://www.ptlc.gov.cn/zfxxgkzl/xzgfxwj/	bmzfxxgk-root	enum-other-site
http://www.ptlc.gov.cn/zfxxgkzl/ysqgk/	bmzfxxgk-root	enum-other-site
http://www.ptlc.gov.cn/zfxxgkzl/zfxxgkndbg/	bmzfxxgk-root	enum-other-site
http://www.ptlc.gov.cn/zwgk/gzbg/	direct:/zwgk/jhzj/xqgzbg/	enum-other-site
http://www.ptlc.gov.cn/zwgk/zf/bzxzf/202305/t20230526_1821774.htm	direct:/zwgk/zdlyxxgk/ggzypzly/zfbzly/bzxajgcjsjh/	enum-other-site
http://www.ptsql.org/xwzx/202003/t20200318_1454889.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202003/t20200331_1458706.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202009/t20200904_1522227.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202109/t20210908_1645068.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202110/t20211022_1663756.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202111/t20211117_1671524.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsql.org/xwzx/202111/t20211123_1682642.htm	direct:/zwgk/ptdt/bmdt/	enum-other-site
http://www.ptsx.cn/	direct:/zfxxgk/ggqsydwxxgk/jylyggqsydw/	enum-other-site
http://www.ptwjm.gov.cn/tjsjqt/	direct:/zwgk/tjxx/tjsj/	enum-other-site
http://www.ptxy.gov.cn/zfxxgkzl/xzgfxwj/	bmzfxxgk-root	enum-other-site
http://www.ptxy.gov.cn/zfxxgkzl/ysqgk/	bmzfxxgk-root	enum-other-site
http://www.ptxy.gov.cn/zfxxgkzl/zfxxgkndbg/	bmzfxxgk-root	enum-other-site
http://www.ptxy.gov.cn/zwgk/gzbg/	direct:/zwgk/jhzj/xqgzbg/	enum-other-site
http://www.ptxy.gov.cn/zwgk/jytabl/rdjy/202209/t20220901_1749822.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.ptxy.gov.cn/zwgk/jytabl/rdjy/202209/t20220901_1749823.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.ptxy.gov.cn/zwgk/jytabl/rdjy/202209/t20220901_1749829.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.ptxy.gov.cn/zwgk/jytabl/zxta/202209/t20220901_1749835.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.ptxy.gov.cn/zwgk/jytabl/zxta/202209/t20220901_1749841.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
